 time                    v(in)                   v(out)                 
 3.1220391459118609e-04  9.2458986211165453e+00  1.9557050660268256e+00 
 3.1419590658317807e-04  9.1974940169677719e+00  1.9701644609173015e+00 
 3.1618789857517006e-04  9.1476486292148245e+00  1.9844973222373354e+00 
 3.1817989056716204e-04  9.0963702661169172e+00  1.9987010423855398e+00 
 3.2017188255915402e-04  9.0436669604082560e+00  2.0127730347115476e+00 
 3.2216387455114600e-04  8.9895469680397149e+00  2.0267107339197743e+00 
 3.2415586654313799e-04  8.9340187668855382e+00  2.0405115964698384e+00 
 3.2614785853512997e-04  8.8770910554152920e+00  2.0541731009735757e+00 
 3.2813985052712195e-04  8.8187727513312542e+00  2.0676927485885908e+00 
 3.3013184251911394e-04  8.7590729901714486e+00  2.0810680634082699e+00 
 3.3212383451110592e-04  8.6980011238785799e+00  2.0942965928482153e+00 
 3.3411582650309790e-04  8.6355667193350438e+00  2.1073759080290220e+00 
 3.3610781849508989e-04  8.5717795568642927e+00  2.1203036041553438e+00 
 3.3809981048708187e-04  8.5066496286987388e+00  2.1330773008911943e+00 
 3.4009180247907385e-04  8.4401871374144850e+00  2.1456946427314141e+00 
 3.4208379447106584e-04  8.3724024943330821e+00  2.1581532993692525e+00 
 3.4407578646305782e-04  8.3033063178906268e+00  2.1704509660600042e+00 
 3.4606777845504980e-04  8.2329094319743472e+00  2.1825853639806509e+00 
 3.4805977044704179e-04  8.1612228642270921e+00  2.1945542405854335e+00 
 3.5005176243903377e-04  8.0882578443198110e+00  2.2063553699573206e+00 
 3.5204375443102575e-04  8.0140258021924584e+00  2.2179865531553022e+00 
 3.5403574642301774e-04  7.9385383662635034e+00  2.2294456185574649e+00 
 3.5602773841500972e-04  7.8618073616083084e+00  2.2407304221997868e+00 
 3.5801973040700170e-04  7.7838448081067790e+00  2.2518388481106060e+00 
 3.6001172239899369e-04  7.7046629185604232e+00  2.2627688086407041e+00 
 3.6200371439098567e-04  7.6242740967792351e+00  2.2735182447889541e+00 
 3.6399570638297765e-04  7.5426909356386425e+00  2.2840851265234905e+00 
 3.6598769837496963e-04  7.4599262151068269e+00  2.2944674530983349e+00 
 3.6797969036696162e-04  7.3759929002427684e+00  2.3046632533654443e+00 
 3.6997168235895360e-04  7.2909041391652538e+00  2.3146705860821224e+00 
 3.7196367435094558e-04  7.2046732609932427e+00  2.3244875402137484e+00 
 3.7395566634293757e-04  7.1173137737578571e+00  2.3341122352317765e+00 
 3.7594765833492955e-04  7.0288393622863605e+00  2.3435428214069609e+00 
 3.7793965032692153e-04  6.9392638860584306e+00  2.3527774800977581e+00 
 3.7993164231891352e-04  6.8486013770350933e+00  2.3618144240338621e+00 
 3.8192363431090550e-04  6.7568660374605862e+00  2.3706518975948270e+00 
 3.8391562630289748e-04  6.6640722376376225e+00  2.3792881770837337e+00 
 3.8590761829488947e-04  6.5702345136762670e+00  2.3877215709958648e+00 
 3.8789961028688145e-04  6.4753675652168630e+00  2.3959504202823303e+00 
 3.8989160227887343e-04  6.3794862531273555e+00  2.4039730986086139e+00 
 3.9188359427086542e-04  6.2826055971753050e+00  2.4117880126080045e+00 
 3.9387558626285740e-04  6.1847407736750961e+00  2.4193936021298592e+00 
 3.9586757825484938e-04  6.0859071131105402e+00  2.4267883404826649e+00 
 3.9785957024684137e-04  5.9861200977333597e+00  2.4339707346718655e+00 
 3.9985156223883335e-04  5.8853953591379344e+00  2.4409393256324114e+00 
 4.0184355423082533e-04  5.7837486758125687e+00  2.4476926884559944e+00 
 4.0383554622281731e-04  5.6811959706678508e+00  2.4542294326129372e+00 
 4.0582753821480930e-04  5.5777533085422899e+00  2.4605482021687002e+00 
 4.0781953020680128e-04  5.4734368936857960e+00  2.4666476759949711e+00 
 4.0981152219879326e-04  5.3682630672212737e+00  2.4725265679753043e+00 
 4.1180351419078525e-04  5.2622483045848032e+00  2.4781836272052775e+00 
 4.1379550618277723e-04  5.1554092129447637e+00  2.4836176381871371e+00 
 4.1578749817476921e-04  5.0477625286003285e+00  2.4888274210188976e+00 
 4.1777949016676120e-04  4.9393251143597316e+00  2.4938118315778692e+00 
 4.1977148215875318e-04  4.8301139568987184e+00  2.4985697616985831e+00 
 4.2176347415074516e-04  4.7201461640995825e+00  2.5031001393450856e+00 
 4.2375546614273715e-04  4.6094389623712333e+00  2.5074019287775755e+00 
 4.2574745813472913e-04  4.4980096939506762e+00  2.5114741307133595e+00 
 4.2773945012672111e-04  4.3858758141863650e+00  2.5153157824820962e+00 
 4.2973144211871310e-04  4.2730548888038271e+00  2.5189259581753118e+00 
 4.3172343411070508e-04  4.1595645911539982e+00  2.5223037687901551e+00 
 4.3371542610269706e-04  4.0454226994446980e+00  2.5254483623673774e+00 
 4.3570741809468905e-04  3.9306470939556997e+00  2.5283589241235100e+00 
 4.3769941008668103e-04  3.8152557542377519e+00  2.5310346765772205e+00 
 4.3969140207867301e-04  3.6992667562961250e+00  2.5334748796698299e+00 
 4.4168339407066499e-04  3.5826982697590144e+00  2.5356788308799696e+00 
 4.4367538606265698e-04  3.4655685550312327e+00  2.5376458653323581e+00 
 4.4566737805464896e-04  3.3478959604337879e+00  2.5393753559006873e+00 
 4.4765937004664094e-04  3.2296989193295604e+00  2.5408667133045975e+00 
 4.4965136203863293e-04  3.1109959472357862e+00  2.5421193862007194e+00 
 4.5164335403062491e-04  2.9918056389235677e+00  2.5431328612677855e+00 
 4.5363534602261689e-04  2.8721466655050101e+00  2.5439066632857803e+00 
 4.5562733801460888e-04  2.7520377715084372e+00  2.5444403552091304e+00 
 4.5761933000660086e-04  2.6314977719420267e+00  2.5447335382339142e+00 
 4.5961132199859284e-04  2.5105455493464692e+00  2.5447858518590798e+00 
 4.6160331399058483e-04  2.3892000508370206e+00  2.5445969739416743e+00 
 4.6359530598257681e-04  2.2674802851354441e+00  2.5441666207460578e+00 
 4.6558729797456879e-04  2.1454053195923035e+00  2.5434945469871089e+00 
 4.6757928996656078e-04  2.0229942772000697e+00  2.5425805458674078e+00 
 4.6957128195855276e-04  1.9002663335975114e+00  2.5414244491083924e+00 
 4.7156327395054474e-04  1.7772407140658397e+00  2.5400261269754818e+00 
 4.7355526594253673e-04  1.6539366905170769e+00  2.5383854882971684e+00 
 4.7554725793452871e-04  1.5303735784751129e+00  2.5365024804780671e+00 
 4.7753924992652069e-04  1.4065707340499607e+00  2.5343770895059246e+00 
 4.7953124191851267e-04  1.2825475509055839e+00  2.5320093399525918e+00 
 4.8152323391050466e-04  1.1583234572219332e+00  2.5293992949689494e+00 
 4.8351522590249664e-04  1.0339179126515063e+00  2.5265470562737935e+00 
 4.8550721789448862e-04  9.0935040527100275e-01  2.5234527641366822e+00 
 4.8749920988648061e-04  7.8464044852854631e-01  2.5201165973547472e+00 
 4.8949120187847259e-04  6.5980757818686275e-01  2.5165387732234730e+00 
 4.9148319387046463e-04  5.3487134926307334e-01  2.5127195475014434e+00 
 4.9347518586245667e-04  4.0985133296535575e-01  2.5086592143690689e+00 
 4.9546717785444870e-04  2.8476711362715817e-01  2.5043581063812947e+00 
 4.9745916984644074e-04  1.5963828563930393e-01  2.4998165944143076e+00 
 4.9945116183843278e-04  3.4484450380542687e-02  2.4950350876062304e+00 
 5.0144315383042481e-04 -9.0674786852992864e-02  2.4900140332918328e+00 
 5.0343514582241685e-04 -2.1581981991897067e-01  2.4847539169312634e+00 
 5.0542713781440889e-04 -3.4093104490010018e-01  2.4792552620328019e+00 
 5.0741912980640093e-04 -4.6598886317516192e-01  2.4735186300696625e+00 
 5.0941112179839296e-04 -5.9097368448903032e-01  2.4675446203908509e+00 
 5.1140311379038500e-04 -7.1586593002154586e-01  2.4613338701260852e+00 
 5.1339510578237704e-04 -8.4064603545449712e-01  2.4548870540848058e+00 
 5.1538709777436908e-04 -9.6529445403638636e-01  2.4482048846492868e+00 
 5.1737908976636111e-04 -1.0897916596443926e+00  2.4412881116618586e+00 
 5.1937108175835315e-04 -1.2141181498431444e+00  2.4341375223062651e+00 
 5.2136307375034519e-04 -1.3382544489397807e+00  2.4267539409831809e+00 
 5.2335506574233723e-04 -1.4621811110347893e+00  2.4191382291798922e+00 
 5.2534705773432926e-04 -1.5858787230681892e+00  2.4112912853341735e+00 
 5.2733904972632130e-04 -1.7093279078606392e+00  2.4032140446923815e+00 
 5.2933104171831334e-04 -1.8325093271487791e+00  2.3949074791617826e+00 
 5.3132303371030538e-04 -1.9554036846146241e+00  2.3863725971571368e+00 
 5.3331502570229741e-04 -2.0779917289082968e+00  2.3776104434415712e+00 
 5.3530701769428945e-04 -2.2002542566637624e+00  2.3686220989617568e+00 
 5.3729900968628149e-04 -2.3221721155070036e+00  2.3594086806774222e+00 
 5.3929100167827352e-04 -2.4437262070562449e+00  2.3499713413852281e+00 
 5.4128299367026556e-04 -2.5648974899137178e+00  2.3403112695370285e+00 
 5.4327498566225760e-04 -2.6856669826484687e+00  2.3304296890525502e+00 
 5.4526697765424964e-04 -2.8060157667697800e+00  2.3203278591265164e+00 
 5.4725896964624167e-04 -2.9259249896908073e+00  2.3100070740302514e+00 
 5.4925096163823371e-04 -3.0453758676817428e+00  2.2994686629077910e+00 
 5.5124295363022575e-04 -3.1643496888123406e+00  2.2887139895665269e+00 
 5.5323494562221779e-04 -3.2828278158831061e+00  2.2777444522624317e+00 
 5.5522693761420982e-04 -3.4007916893448242e+00  2.2665614834798848e+00 
 5.5721892960620186e-04 -3.5182228302058856e+00  2.2551665497061388e+00 
 5.5921092159819390e-04 -3.6351028429270036e+00  2.2435611512004647e+00 
 5.6120291359018594e-04 -3.7514134183029229e+00  2.2317468217580054e+00 
 5.6319490558217797e-04 -3.8671363363304860e+00  2.2197251284683812e+00 
 5.6518689757417001e-04 -3.9822534690628091e+00  2.2074976714690786e+00 
 5.6717888956616205e-04 -4.0967467834490323e+00  2.1950660836936682e+00 
 5.6917088155815409e-04 -4.2105983441591865e+00  2.1824320306148834e+00 
 5.7116287355014612e-04 -4.3237903163937368e+00  2.1695972099826073e+00 
 5.7315486554213816e-04 -4.4363049686774056e+00  2.1565633515568048e+00 
 5.7514685753413020e-04 -4.5481246756368208e+00  2.1433322168354412e+00 
 5.7713884952612223e-04 -4.6592319207614938e+00  2.1299055987774334e+00 
 5.7913084151811427e-04 -4.7696092991477688e+00  2.1162853215206718e+00 
 5.8112283351010631e-04 -4.8792395202253518e+00  2.1024732400951631e+00 
 5.8311482550209835e-04 -4.9881054104657911e+00  2.0884712401313372e+00 
 5.8510681749409038e-04 -5.0961899160727597e+00  2.0742812375635578e+00 
 5.8709880948608242e-04 -5.2034761056535004e+00  2.0599051783288931e+00 
 5.8909080147807446e-04 -5.3099471728711425e+00  2.0453450380611864e+00 
 5.9108279347006650e-04 -5.4155864390773782e+00  2.0306028217804748e+00 
 5.9307478546205853e-04 -5.5203773559251843e+00  2.0156805635778139e+00 
 5.9506677745405057e-04 -5.6243035079611223e+00  2.0005803262955411e+00 
 5.9705876944604261e-04 -5.7273486151967932e+00  1.9853042012030460e+00 
 5.9905076143803465e-04 -5.8294965356590840e+00  1.9698543076680834e+00 
 6.0104275343002668e-04 -5.9307312679188504e+00  1.9542327928236898e+00 
 6.0303474542201872e-04 -6.0310369535974671e+00  1.9384418312307548e+00 
 6.0502673741401076e-04 -6.1303978798510830e+00  1.9224836245362920e+00 
 6.0701872940600280e-04 -6.2287984818320110e+00  1.9063604011274737e+00 
 6.0901072139799483e-04 -6.3262233451269720e+00  1.8900744157814802e+00 
 6.1100271338998687e-04 -6.4226572081717350e+00  1.8736279493112116e+00 
 6.1299470538197891e-04 -6.5180849646418455e+00  1.8570233082069281e+00 
 6.1498669737397095e-04 -6.6124916658190340e+00  1.8402628242738690e+00 
 6.1697868936596298e-04 -6.7058625229329110e+00  1.8233488542659066e+00 
 6.1897068135795502e-04 -6.7981829094776112e+00  1.8062837795152960e+00 
 6.2096267334994706e-04 -6.8894383635030856e+00  1.7890700055585755e+00 
 6.2295466534193909e-04 -6.9796145898804820e+00  1.7717099617586793e+00 
 6.2494665733393113e-04 -7.0686974625415280e+00  1.7542061009233165e+00 
 6.2693864932592317e-04 -7.1566730266913483e+00  1.7365608989196835e+00 
 6.2893064131791521e-04 -7.2435275009944942e+00  1.7187768542855637e+00 
 6.3092263330990724e-04 -7.3292472797337647e+00  1.7008564878368795e+00 
 6.3291462530189928e-04 -7.4138189349415464e+00  1.6828023422717553e+00 
 6.3490661729389132e-04 -7.4972292185033060e+00  1.6646169817711554e+00 
 6.3689860928588336e-04 -7.5794650642328874e+00  1.6463029915961582e+00 
 6.3889060127787539e-04 -7.6605135899193355e+00  1.6278629776819316e+00 
 6.4088259326986743e-04 -7.7403620993448765e+00  1.6092995662284706e+00 
 6.4287458526185947e-04 -7.8189980842737938e+00  1.5906154032881614e+00 
 6.4486657725385151e-04 -7.8964092264118317e+00  1.5718131543502418e+00 
 6.4685856924584354e-04 -7.9725833993358268e+00  1.5528955039222145e+00 
 6.4885056123783558e-04 -8.0475086703933520e+00  1.5338651551082851e+00 
